Rougned Odor,TEX,.259,.238
Paul Konerko,CHW,.207,.244
Gerald Laird,ATL,.204,.154
Gregor Blanco,SFG,.260,.265
Ryan Ludwick,CIN,.244,.250
Chase Utley,PHI,.270,.217
A.J. Pollock,ARI,.302,.378
Allen Craig,STL,.215,.313
Albert Pujols,LAA,.272,.321
Robbie Grossman,HOU,.233,.360
Jason Castro,HOU,.222,.263
Sean Rodriguez,TBR,.211,.206
Brandon Moss,OAK,.234,.364
Mark Teixeira,NYY,.216,.086
Josh Reddick,OAK,.264,.333
Chris Denorfia,SDP,.230,.206
A.J. Pierzynski,BOS,.251,.262
Marcus Semien,CHW,.234,.333
Adam Eaton,CHW,.300,.368
Eugenio Suarez,DET,.242,.212
J.P. Arencibia,TEX,.177,.208
Mike Trout,LAA,.287,.414
Brett Gardner,NYY,.256,.306
Juan Francisco,TOR,.220,.346
Alejandro De Aza,CHW,.252,.383
Peter Bourjos,STL,.231,.324
Melky Cabrera,TOR,.301,.405
Chris Colabello,MIN,.229,.349
Chase Headley,SDP,.243,.217
Logan Forsythe,TBR,.223,.277
Rajai Davis,DET,.282,.326
Edwin Encarnacion,TOR,.268,.328
Aaron Hicks,MIN,.215,.327
Ian Desmond,WSN,.255,.239
Alexi Amarista,SDP,.239,.231
Anthony Recker,NYM,.201,.316
Brett Lawrie,TOR,.247,.339
Desmond Jennings,TBR,.244,.386
David Lough,BAL,.247,.310
Ben Zobrist,TBR,.272,.323
Avisail Garcia,CHW,.244,.250
Anthony Gose,TOR,.226,.250
Logan Morrison,SEA,.262,.265
Jose Tabata,PIT,.282,.190
Adam Jones,BAL,.281,.171
Brayan Pena,CIN,.253,.214
Zack Cozart,CIN,.221,.228
Will Middlebrooks,BOS,.191,.353
Freddie Freeman,ATL,.288,.368
C.J. Cron,LAA,.256,.292
Domonic Brown,PHI,.235,.185
Jordan Pacheco,COL,.255,.310
Carlos Gomez,MIL,.284,.300
Jose Reyes,TOR,.287,.228
J.J. Hardy,BAL,.268,.282
Luis Valbuena,CHC,.249,.244
Wilmer Flores,NYM,.251,.238
Christian Yelich,MIA,.284,.286
Stefen Romero,SEA,.192,.304
Erick Aybar,LAA,.278,.300
David DeJesus,TBR,.248,.357
Carlos Beltran,NYY,.233,.275
Chris Parmelee,MIN,.256,.195
Seth Smith,SDP,.266,.325
Eduardo Nunez,MIN,.250,.265
Pedro Alvarez,PIT,.231,.277
Matt den Dekker,NYM,.250,.350
Michael Brantley,CLE,.327,.500
Juan Lagares,NYM,.281,.293
Buster Posey,SFG,.311,.367
Omar Infante,KCR,.252,.333
Yadier Molina,STL,.282,.333
Ben Revere,PHI,.306,.294
Xander Bogaerts,BOS,.240,.278
Cliff Pennington,ARI,.254,.326
Junior Lake,CHC,.211,.216
Chris Coghlan,CHC,.283,.224
Kelly Johnson,NYY,.215,.267
Dustin Pedroia,BOS,.278,.288
Brandon Phillips,CIN,.266,.208
Evan Gattis,ATL,.263,.204
Giancarlo Stanton,MIA,.288,.267
Carl Crawford,LAD,.300,.154
Alberto Callaspo,OAK,.223,.333
Yangervis Solarte,NYY,.260,.429
Kolten Wong,STL,.249,.375
Alex Rios,TEX,.280,.302
Mark Reynolds,MIL,.196,.236
Alex Presley,HOU,.244,.189
Shin-Soo Choo,TEX,.242,.161
Neil Walker,PIT,.271,.260
Josh Hamilton,LAA,.263,.333
John Baker,CHC,.192,.258
Brian Roberts,NYY,.237,.279
Scott Van Slyke,LAD,.297,.211
Evan Longoria,TBR,.253,.277
Dustin Ackley,SEA,.245,.382
Ike Davis,NYM,.233,.241
Brandon Belt,SFG,.243,.246
Mike Napoli,BOS,.248,.255
Chris Johnson,ATL,.263,.265
Brandon Hicks,SFG,.162,.348
Troy Tulowitzki,COL,.340,.233
Brandon Guyer,TBR,.266,.302
Yasiel Puig,LAD,.296,.167
Donovan Solano,MIA,.252,.320
Matt Dominguez,HOU,.215,.186
Brandon Crawford,SFG,.246,.236
Daniel Descalso,STL,.242,.333
Yan Gomes,CLE,.278,.250
Danny Valencia,KCR,.258,.229
Jason Kipnis,CLE,.240,.357
Mitch Moreland,TEX,.246,.270
Alex Avila,DET,.218,.306
Matt Carpenter,STL,.272,.178
Colby Rasmus,TOR,.225,.226
Trevor Plouffe,MIN,.258,.269
Aramis Ramirez,MIL,.285,.316
Nori Aoki,KCR,.285,.292
Ruben Tejada,NYM,.237,.184
Chris Carter,HOU,.227,.214
Jeff Mathis,MIA,.200,.250
Tyler Flowers,CHW,.241,.214
Lorenzo Cain,KCR,.301,.350
Ryan Sweeney,CHC,.251,.200
Rickie Weeks,MIL,.274,.282
Nick Hundley,SDP,.243,.375
Brian McCann,NYY,.232,.200
Jesus Guzman,HOU,.188,.189
Dioner Navarro,TOR,.274,.250
Jose Altuve,HOU,.341,.254
Marwin Gonzalez,HOU,.277,.407
Lyle Overbay,MIL,.233,.208
Lonnie Chisenhall,CLE,.280,.306
Hanley Ramirez,LAD,.283,.261
Ryan Goins,TOR,.188,.169
Jon Singleton,HOU,.168,.154
Devin Mesoraco,CIN,.273,.276
Alexei Ramirez,CHW,.273,.230
Torii Hunter,DET,.286,.346
Corey Hart,SEA,.203,.132
Matt Holliday,STL,.272,.295
Scooter Gennett,MIL,.289,.230
Garrett Jones,MIA,.246,.200
Salvador Perez,KCR,.260,.370
Bryce Harper,WSN,.273,.239
Endy Chavez,SEA,.276,.289
Didi Gregorius,ARI,.226,.222
Nick Markakis,BAL,.276,.356
Josh Donaldson,OAK,.255,.275
Miguel Montero,ARI,.243,.293
Leonys Martin,TEX,.274,.277
Travis d'Arnaud,NYM,.242,.163
Welington Castillo,CHC,.237,.303
Anthony Rendon,WSN,.287,.289
Jean Segura,MIL,.246,.268
Munenori Kawasaki,TOR,.258,.318
Tommy La Stella,ATL,.251,.255
Will Venable,SDP,.224,.216
B.J. Upton,ATL,.208,.267
Josh Harrison,PIT,.315,.300
Coco Crisp,OAK,.246,.261
Jonathan Villar,HOU,.209,.260
Bryan Holaday,DET,.231,.268
Justin Upton,ATL,.270,.218
Jose Bautista,TOR,.286,.375
Derek Jeter,NYY,.256,.137
